"Osnovni podatki o umrlih po spolu, Slovenija, letno"

"SPOL","LETO","Umrli na 1000 prebivalcev"
"Spol - SKUPAJ","1954",9.8
"Spol - SKUPAJ","1955",9.8
"Spol - SKUPAJ","1956",10.6
"Spol - SKUPAJ","1957",9.3
"Spol - SKUPAJ","1958",9.0
"Spol - SKUPAJ","1959",9.7
"Spol - SKUPAJ","1960",9.6
"Spol - SKUPAJ","1961",8.8
"Spol - SKUPAJ","1962",9.9
"Spol - SKUPAJ","1963",9.4
"Spol - SKUPAJ","1964",10.3
"Spol - SKUPAJ","1965",9.7
"Spol - SKUPAJ","1966",9.1
"Spol - SKUPAJ","1967",9.7
"Spol - SKUPAJ","1968",10.2
"Spol - SKUPAJ","1969",10.8
"Spol - SKUPAJ","1970",10.1
"Spol - SKUPAJ","1971",10.0
"Spol - SKUPAJ","1972",10.4
"Spol - SKUPAJ","1973",9.9
"Spol - SKUPAJ","1974",9.6
"Spol - SKUPAJ","1975",10.1
"Spol - SKUPAJ","1976",10.0
"Spol - SKUPAJ","1977",9.6
"Spol - SKUPAJ","1978",9.9
"Spol - SKUPAJ","1979",9.6
"Spol - SKUPAJ","1980",9.9
"Spol - SKUPAJ","1981",9.8
"Spol - SKUPAJ","1982",10.2
"Spol - SKUPAJ","1983",10.7
"Spol - SKUPAJ","1984",10.4
"Spol - SKUPAJ","1985",10.0
"Spol - SKUPAJ","1986",9.8
"Spol - SKUPAJ","1987",10.0
"Spol - SKUPAJ","1988",9.6
"Spol - SKUPAJ","1989",9.3
"Spol - SKUPAJ","1990",9.3
"Spol - SKUPAJ","1991",9.7
"Spol - SKUPAJ","1992",9.7
"Spol - SKUPAJ","1993",10.0
"Spol - SKUPAJ","1994",9.7
"Spol - SKUPAJ","1995",9.5
"Spol - SKUPAJ","1996",9.5
"Spol - SKUPAJ","1997",9.5
"Spol - SKUPAJ","1998",9.6
"Spol - SKUPAJ","1999",9.5
"Spol - SKUPAJ","2000",9.3
"Spol - SKUPAJ","2001",9.3
"Spol - SKUPAJ","2002",9.4
"Spol - SKUPAJ","2003",9.7
"Spol - SKUPAJ","2004",9.3
"Spol - SKUPAJ","2005",9.4
"Spol - SKUPAJ","2006",9.1
"Spol - SKUPAJ","2007",9.2
"Spol - SKUPAJ","2008",9.1
"Spol - SKUPAJ","2009",9.2
"Spol - SKUPAJ","2010",9.1
"Spol - SKUPAJ","2011",9.1
"Spol - SKUPAJ","2012",9.4
"Spol - SKUPAJ","2013",9.4
"Spol - SKUPAJ","2014",9.2
"Spol - SKUPAJ","2015",9.6
"Spol - SKUPAJ","2016",9.5
"Spol - SKUPAJ","2017",9.9
"Spol - SKUPAJ","2018",9.9
"Spol - SKUPAJ","2019",9.9
"Spol - SKUPAJ","2020",11.4
"Spol - SKUPAJ","2021",11.0
