"SPOL";"STAROSTNE SKUPINE";"2010 Samomori - SKUPAJ";"2011 Samomori - SKUPAJ";"2012 Samomori - SKUPAJ";"2013 Samomori - SKUPAJ";"2014 Samomori - SKUPAJ";"2015 Samomori - SKUPAJ";"2016 Samomori - SKUPAJ";"2017 Samomori - SKUPAJ";"2018 Samomori - SKUPAJ";"2019 Samomori - SKUPAJ";"2020 Samomori - SKUPAJ"
"Spol - SKUPAJ";"10-19 let";12;8;2;7;6;6;11;4;12;7;8
"Spol - SKUPAJ";"20-24 let";16;14;20;19;14;12;14;7;7;8;10
"Spol - SKUPAJ";"25-29 let";19;14;25;24;16;14;13;21;12;13;3
"Spol - SKUPAJ";"30-34 let";18;20;13;20;20;20;17;19;18;18;18
"Spol - SKUPAJ";"35-39 let";23;20;23;19;29;29;31;17;21;23;26
"Spol - SKUPAJ";"40-44 let";32;37;36;32;23;32;19;20;26;23;31
"Spol - SKUPAJ";"45-49 let";42;45;46;39;33;34;30;23;24;30;23
"Spol - SKUPAJ";"50-54 let";50;40;49;52;50;36;47;54;37;39;24
"Spol - SKUPAJ";"55-59 let";41;43;58;52;39;39;38;54;31;34;26
"Spol - SKUPAJ";"60-64 let";45;45;36;48;32;57;29;43;30;42;30
"Spol - SKUPAJ";"65-69 let";23;31;33;30;20;32;22;28;34;35;39
"Spol - SKUPAJ";"70-74 let";34;44;30;29;40;33;25;28;32;43;31
"Spol - SKUPAJ";"75-79 let";24;28;34;35;30;31;34;25;25;34;33
"Spol - SKUPAJ";"80 + let";37;48;38;42;36;50;41;69;44;45;67
